,bl_id,account,consump_month,consump_year,bge_kWh_used,bge_therms_used,BTU electric,BTU gas,Site BTU,Source BTU,name,address1,block,lot,lat,lon,sq_ft,property_type,agency_occupied,year_built,neighborhood,council_district,Property Type Code,Site EUI,Source EUI
0,B00005,72816380000.0,85.0,2017,434431.0,13496.0,1482278.572,1349600.0,2831878.5719999997,5567460.001599999,DGS Public Building Maintenance Shop,500 Fallsway,1255,1,39.29588,-76.61028,18144.0,"Warehouse, self storage",DGS,1945.0,Penn - Fallsway,11.0,11,156.0779636243386,306.8485450617284
1,B00011,142413593000.0,178.0,2017,4879338.0,8278.0,16648301.256,827800.0,17476101.255999997,47484433.516799994,First Mariner Arena,201 West Baltimore St,644,1,39.28862,-76.61861999999999,697620.0,"Public Assembly, Convention Center",Civic Centers,1960.0,Downtown,11.0,7,25.05103244746423,68.06633054786272
2,B00022,27554670000.0,85.0,2017,97554.0,0.0,332854.248,0.0,332854.248,931991.8944,Baltimore City Mounted Police Unit,411 Fallsway St,1255,2,39.295559999999995,-76.61028,11270.59,"Public Services, police",BCPD,,Penn - Fallsway,11.0,1,29.532992327819574,82.6923785178948
3,B00026,33259184000.0,63.0,2017,26636.0,0.0,90882.03199999999,0.0,90882.03199999999,254469.68959999995,Baltimore City Police North Western District,5271 Reisterstown Rd,4543B,27,39.34462,-76.685455,56228.0,"Public Services, police",BCPD,1965.0,Middle Branch - Reedbird Parks,10.0,1,1.616312726755353,4.525675634914988
4,B00028,124420543000.0,85.0,2017,396080.0,7892.0,1351424.96,789200.0,2140624.96,4612649.888,Baltimore City Police Southern District,10 Cherry Hill Rd,7610,11,39.25288,-76.6172,29314.0,"Public Services, police",BCPD,1965.0,Middle Branch - Reedbird Parks,10.0,1,73.02398035068568,157.35313802278776
5,B00029,14946480000.0,78.0,2017,291920.0,6546.0,996031.0399999999,654600.0,1650631.04,3476216.9119999995,Baltimore City Police South Eastern District,5710 Eastern Avenue Baltimore ,6332,9,39.287688,-76.547422,26177.0,"Public Services, police",BCPD,1950.0,Hopkins Bayview,1.0,1,63.05653971043282,132.7966119876227
6,B00031,36065510000.0,80.0,2017,306880.0,8427.0,1047074.5599999999,842700.0,1889774.56,3816643.7679999997,Baltimore City Police Western District,1034 N Mount St,60,7,39.300666,-76.644706,22024.65,"Public Services, police",BCPD,1961.0,Sandtown - Winchester,9.0,1,85.80270560485637,173.28964446654086
7,B00034,81074880000.0,78.0,2017,351702.0,0.0,1200007.224,0.0,1200007.224,3360020.2271999996,Baltimore City Police K9 Unit,Mansion House Dr,3499,1,39.3238,-76.64389,26177.0,"Public Services, police",BCPD,,Druid Hill Park,7.0,1,45.84204545975474,128.35772728731328
8,B00035,39307932000.0,78.0,2017,622086.0,12188.0,2122557.432,1218800.0,3341357.432,7222900.809599999,Baltimore City Police Northern District,2201 West Cold Spring Lane,3357E,009A,39.34304,-76.65236,25508.47,"Public Services, police",BCPD,2001.0,Woodberry,6.0,1,130.99011551849247,283.1569596138067
9,B00036,117791292000.0,78.0,2017,391612.0,6672.0,1336180.1439999999,667200.0,2003380.1439999999,4441864.403199999,Baltimore City Police Department Warrant Task Force,242 West 29th St,3658,075A,39.32306,-76.62223,30310.79,"Public Services, police",BCPD,1992.0,Remington,14.0,1,66.09461990268152,146.54399978357537
