,bl_id,building_name,address,utility,account,consump_month,consump_year,bge_kWh_used,bge_therms_used,name,address1,block,lot,lat,lon,sq_ft,property_type,agency_occupied,year_built,neighborhood,council_district,Property Type Code
0,B00035,Baltimore City Police Northern District,2201 West Cold Spring Lane,bge,3275661000.0,12.0,2019.0,36551.0,1173.0,Baltimore City Police Northern District,2201 West Cold Spring Lane,3357E,009A,39.34304,-76.65236,25508.47,"Public Services, police",BCPD,2001.0,Woodberry,6.0,1
1,B08020,Eastside Career Center,3001 E Madison St,bge,5884920000.0,12.0,2019.0,11780.0,2966.0,Eastside Career Center,3001 E Madison St,1630,1,39.29973,-76.575,27910.0,"Education, vocational",MOED,1955.0,Maidson- Eastend,,2
2,B00022,Baltimore City Mounted Police Unit,411 Fallsway St,bge,2119590000.0,12.0,2018.0,7301.0,0.0,Baltimore City Mounted Police Unit,411 Fallsway St,1255,2,39.295559999999995,-76.61028,11270.59,"Public Services, police",BCPD,,Penn - Fallsway,11.0,1
3,B00035,Baltimore City Police Northern District,2201 West Cold Spring Lane,bge,3275661000.0,11.0,2019.0,33586.0,1151.0,Baltimore City Police Northern District,2201 West Cold Spring Lane,3357E,009A,39.34304,-76.65236,25508.47,"Public Services, police",BCPD,2001.0,Woodberry,6.0,1
4,B08020,Eastside Career Center,3001 E Madison St,bge,5884920000.0,11.0,2019.0,11420.0,2232.0,Eastside Career Center,3001 E Madison St,1630,1,39.29973,-76.575,27910.0,"Education, vocational",MOED,1955.0,Maidson- Eastend,,2
5,B00035,Baltimore City Police Northern District,2201 West Cold Spring Lane,bge,3275661000.0,10.0,2019.0,38840.0,1430.0,Baltimore City Police Northern District,2201 West Cold Spring Lane,3357E,009A,39.34304,-76.65236,25508.47,"Public Services, police",BCPD,2001.0,Woodberry,6.0,1
6,B08020,Eastside Career Center,3001 E Madison St,bge,5884920000.0,10.0,2019.0,9040.0,327.0,Eastside Career Center,3001 E Madison St,1630,1,39.29973,-76.575,27910.0,"Education, vocational",MOED,1955.0,Maidson- Eastend,,2
7,B00182,Lower Park Heights Multi Purpose Building,3939 Reisterstown Rd,bge,1198781000.0,7.0,2019.0,42814.0,0.0,Lower Park Heights Multi Purpose Building,3939 Reisterstown Rd,3321,23,39.333729999999996,-76.66336,33707.0,"Public Assembly, Other",CAC,1978.0,Central Park Heights,6.0,9
8,B00183,Reservoir Hill / Metro Delta Head Start,2001 Park Av,bge,786151000.0,7.0,2019.0,4200.0,0.0,Reservoir Hill / Metro Delta Head Start,2001 Park Av,3448,30,39.313340000000004,-76.62805999999999,18744.0,"Education, vocational",VACANT,1880.0,Resevoir Hill,7.0,2
9,B00230,President's Street Station Civil War Museum,601 President St,bge,2211251000.0,7.0,2019.0,2600.0,0.0,President's Street Station Civil War Museum,601 President St,1799,3,39.28398,-76.60247,4543.28,"Public Assembly, Museum",DGS HISTORIC,1851.0,Inner Harbor,1.0,8
